Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Multisubbank interleave cycle time (ns), Delay request network (ns), Delay inside mat (ns), Delay reply network (ns), Tag array access time (ns), Refresh period (microsec), DRAM array availability (%), Dynamic read energy (nJ), Dynamic write energy (nJ), Dynamic read power (mW), Standby leakage per bank(mW), Leakage per bank with leak power management (mW), Refresh power as percentage of standby leakage, Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Area efficiency, Resistance per unit micron (ohm-micron), Capacitance per unit micron (fF per micron), Unit-length wire delay (ps), FO4 delay (ps), delay route to bank (including crossb delay) (ps), Crossbar delay (ps), Dyn read energy per access from closed page (nJ), Dyn read energy per access from open page (nJ), Leak power of an subbank with page closed (mW), Leak power of a subbank with page  open (mW), Leak power of request and reply networks (mW), Number of subbanks, Page size in bits, Activate power, Read power, Write power, Precharge power, tRCD, CAS latency, Precharge delay, Perc dyn energy bitlines, perc dyn energy wordlines, perc dyn energy outside mat, Area opt (perc), Delay opt (perc), Repeater opt (perc), Aspect ratio
65, 1024, 1, 1, 512, 1e+39, 1e+39, 1.33686e-302, 1.9027e-304, 2.08601e-300, -2.40222e+276, 0, -1.54859e+272, -1.57888e+266, 1e+39, 1e+39, 1000, 1e+33, 1e+33, inf, -1.94988e+267, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2.18392e+267, 0.734018, 0.282409, 0.000103647, 13.0922, 0, 2.05111e-305, -inf, 1.69737e-304, -2.40222e+270, 2.84515e-97, 1.86092e-308, 0, 0, -1.54859e+275, -2.34237e+276, -2.32564e+276, -nan, 3.81249e-304, 1.9027e-304, -1.96022e+276, -2.40749e+267, -2.34237e+267, -9.26561e+266, 50, 10, 10, 4.29658e-41
65, 1024, 1, 2, 512, 1e+39, 1e+39, 1.33686e-302, 1.90274e-304, 2.08601e-300, -3.86935e+276, 0, -2.46554e+272, -2.49583e+266, 1e+39, 1e+39, 1000, 1e+33, 1e+33, inf, -3.30324e+267, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3.65105e+267, 0.734018, 0.282409, 0, 0, 0, 2.05147e-305, -inf, 1.69748e-304, -3.86934e+270, 2.84515e-97, 1.86092e-308, 0, 0, -2.46555e+275, -3.8095e+276, -3.79276e+276, -nan, 3.81253e-304, 1.90274e-304, -3.32391e+276, -3.87461e+267, -3.8095e+267, -1.55486e+267, 50, 10, 10, 1.59774e-41
65, 1024, 1, 4, 512, 1e+39, 1e+39, 1.33686e-302, 1.90273e-304, 2.08601e-300, -3.47435e+276, 0, -2.21867e+272, -2.24896e+266, 1e+39, 1e+39, 1000, 1e+33, 1e+33, inf, -2.90824e+267, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3.25605e+267, 0.734018, 0.282409, 0, 0, 0, 2.05137e-305, -inf, 1.69734e-304, -3.47435e+270, 2.84515e-97, 1.86092e-308, 0, 0, -2.21867e+275, -3.4145e+276, -3.39777e+276, -nan, 3.81252e-304, 1.90273e-304, -2.92892e+276, -3.47962e+267, -3.4145e+267, -1.35736e+267, 50, 10, 10, 9.80437e-41
65, 1024, 1, 8, 512, 1e+39, 1e+39, 1.33686e-302, 1.90272e-304, 2.08601e-300, -3.07936e+276, 0, -1.9718e+272, -2.00209e+266, 1e+39, 1e+39, 1000, 1e+33, 1e+33, inf, -2.51325e+267, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2.86106e+267, 0.734018, 0.282409, 0, 0, 0, 2.05128e-305, -inf, 1.6975e-304, -3.07935e+270, 2.84515e-97, 1.86092e-308, 0, 0, -1.9718e+275, -3.01951e+276, -3.00277e+276, -nan, 3.81251e-304, 1.90272e-304, -2.53392e+276, -3.08462e+267, -3.01951e+267, -1.15986e+267, 50, 10, 10, 1.01174e-41
65, 1024, 1, 16, 512, 0.606835, 0.243016, 0.11583, 0.075413, 0.166037, 0.11583, 0.303417, 0, 0, 0.00998998, 0.0116995, 41.1083, 0, -nan, 0, 0.0216373, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 22.6407, 0.734018, 0.282409, 0.000103647, 13.0922, 0, 0, 0.0435753, 0.03296, 0.230832, 0.76897, 0, 1, 576, 0.0067582, 0.03296, 0.0295342, 0.00385711, 0, 0, 0, 21.976, 2.40828, 295.638, 50, 10, 10, 0.847938
65, 1024, 1, 16, 512, 0.606835, 0.243016, 0.11583, 0.075413, 0.166037, 0.11583, 0.303417, 0, 0, 0.00998998, 0.0116995, 41.1083, 0, -nan, 0, 0.0216373, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 22.6407, 0.734018, 0.282409, 0.000103647, 13.0922, 0, 0, 0.0435753, 0.03296, 0.230832, 0.76897, 0, 1, 576, 0.0067582, 0.03296, 0.0295342, 0.00385711, 0, 0, 0, 21.976, 2.40828, 295.638, 50, 10, 10, 0.847938
65, 2048, 1, 1, 512, 0.479408, 0.424587, 0.176525, 0.176525, 0.178353, 0.12453, 0.464908, 0, 0, 0.0453487, 0.0441964, 106.807, 1.67753, 1.67753, 0, 0.290374, 2, 2, 1, 1, 1, 2, 2, 4, 0.5, 1, 1, 1, 3.72522, 0.734018, 0.282409, 0.000103647, 13.0922, 0, 0, 0.0447279, 0.0358331, 0.25914, 0.528208, 0, 1, 1152, 0.00403979, 0.0356132, 0.0310506, 0.00500628, 0, 0, 0, 3.50904, 1.28252, 67.9509, 50, 10, 10, 0.878835
65, 2048, 1, 2, 512, 1e+39, 1e+39, 1.33686e-302, 1.90273e-304, 2.08601e-300, -3.34537e+276, 0, -2.13806e+272, -2.16835e+266, 1e+39, 1e+39, 1000, 1e+33, 1e+33, inf, -2.77927e+267, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3.12708e+267, 0.734018, 0.282409, 0.000103647, 13.0922, 0, 2.05134e-305, -inf, 1.6973e-304, -3.34537e+270, 2.84515e-97, 1.86092e-308, 0, 0, -2.13806e+275, -3.28553e+276, -3.26879e+276, -nan, 3.81251e-304, 1.90273e-304, -2.79994e+276, -3.35064e+267, -3.28553e+267, -1.29287e+267, 50, 10, 10, 1.39402e-40
65, 2048, 1, 4, 512, 1e+39, 1e+39, 1.33686e-302, 1.90274e-304, 2.08601e-300, -3.82098e+276, 0, -2.43531e+272, -2.4656e+266, 1e+39, 1e+39, 1000, 1e+33, 1e+33, inf, -3.25487e+267, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3.60268e+267, 0.734018, 0.282409, 0, 0, 0, 2.05146e-305, -inf, 1.6972e-304, -3.82098e+270, 2.84515e-97, 1.86092e-308, 0, 0, -2.43532e+275, -3.76113e+276, -3.7444e+276, -nan, 3.81253e-304, 1.90274e-304, -3.27554e+276, -3.82625e+267, -3.76113e+267, -1.53068e+267, 50, 10, 10, 7.26831e-40
65, 2048, 1, 8, 512, 1e+39, 1e+39, 1.33686e-302, 1.90271e-304, 2.08601e-300, -2.51508e+276, 0, -1.61912e+272, -1.64941e+266, 1e+39, 1e+39, 1000, 1e+33, 1e+33, inf, -2.00631e+267, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2.29678e+267, 0.734018, 0.282409, 0, 0, 0, 2.05113e-305, -inf, 1.69721e-304, -2.51507e+270, 2.84515e-97, 1.86092e-308, 0, 0, -1.61913e+275, -2.45523e+276, -2.43849e+276, -nan, 3.81249e-304, 1.90271e-304, -2.01665e+276, -2.52034e+267, -2.45523e+267, -9.54775e+266, 50, 10, 10, 3.74843e-40
